Incorrect number of General Ledger Entries found. You might have selected a wrong Account in the transaction.,Riq jun ajilib’al jechataj chupam re le nima wuj teq xa sach che le uk’exik,
Create Chart Of Accounts Based On,Kujak uwach etal pa ri,
Program Enrollment Fee,Rajil re utz’ib’axik pale cholb’al chak,
New Company,K’ak’ chakulib’al,
Validate Selling Price for Item against Purchase Rate or Valuation Rate,Utz re uk’ayixik le q’atoj le copanawi le ka loq’ik,
Opportunity Type,Uwach ramajil,
Fee Schedule,Cholb’al chak utojik jujunal,
Cheque Width,Nim uxach uk’exwach pwaq,
Please enter Preferred Contact Email,Taquqxa’n kematz’ib’m uj’el,
Supplier Items,Q’ataj che uyaik,
Stock Ageing,Najtir k’oji’k,
Date of Birth cannot be greater than today.,Ler q’ij k’ojik kumaj taj che le q’ij re kamik,
Transactions can only be deleted by the creator of the Company,Le uk’exik xaqxu’ kakiw uk’exik le b’anowik le chakulib’al,
